"fungal_taxon","fungal_phylum","fungal_class","fungal_order","fungal_family","fungal_genus","fungal_species","n_insect_partners"
"ASV_4819","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Herpotrichiellaceae","g__Sorocybe",NA,1
"ASV_4831","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales",NA,NA,NA,1
"ASV_4832","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans",1
"ASV_4847","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium",NA,1
"ASV_485","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora","s__cinerea",1
"ASV_4851","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_4856","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Stemphylium","s__globuliferum",1
"ASV_4859","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium",NA,1
"ASV_4860","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia",NA,1
"ASV_4876","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta","s__fasciculata",1
"ASV_4878","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA,1
"ASV_4884","p__Ascomycota",NA,NA,NA,NA,NA,1
"ASV_490","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Hyaloscyphaceae","g__Venturiocistella",NA,1
"ASV_4903","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__melezitolytica",1
"ASV_491","p__Ascomycota","c__Leotiomycetes",NA,NA,NA,NA,1
"ASV_4918","p__Ascomycota","c__Lecanoromycetes",NA,NA,NA,NA,1
"ASV_4925","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora",NA,1
"ASV_493","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Kwoniella","s__pini",1
"ASV_4933","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,1
"ASV_4937","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Stereaceae","g__Stereum","s__sanguinolentum",1
"ASV_494","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA,1
"ASV_4971","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Trimorphomycetaceae","g__Saitozyma",NA,1
"ASV_4975","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Gnomoniaceae","g__Ophiognomonia","s__rosae",1
"ASV_4981","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cuniculitremaceae","g__Kockovaella",NA,1
"ASV_499","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Epibryaceae","g__Epibryon","s__interlamellare",1
"ASV_4990","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans",1
"ASV_4992","p__Ascomycota","c__Lecanoromycetes","o__Caliciales",NA,NA,NA,1
"ASV_5013","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Diatrype","s__stigma",1
"ASV_5021","p__Basidiomycota","c__Exobasidiomycetes","o__Microstromatales","f__Microstromatales_fam_Incertae_sedis","g__Pseudomicrostroma","s__phylloplanum",1
"ASV_5022","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Xylariaceae","g__Virgaria","s__nigra",1
"ASV_5036","p__Basidiomycota",NA,NA,NA,NA,NA,1
"ASV_505",NA,NA,NA,NA,NA,NA,1
"ASV_5054","p__Ascomycota","c__Dothideomycetes","o__Myriangiales","f__Myriangiaceae","g__Myriangium",NA,1
"ASV_5070","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleraceae","g__Genolevuria",NA,1
"ASV_5071","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Dioszegia",NA,1
"ASV_508","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA,1
"ASV_509","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Bulleribasidiaceae","g__Vishniacozyma","s__victoriae",1
"ASV_5096","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Diatrype","s__stigma",1
"ASV_5102","p__Ascomycota","c__Dothideomycetes","o__Capnodiales","f__Neoantennariellaceae","g__Cippumomyces","s__mortalis",1
"ASV_5111","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Stilbosporaceae","g__Stegonsporium","s__acerophilum",1
"ASV_5115","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Wickerhamomyces","s__alni",1
