	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_16714	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Dothideales	f__Dothideaceae	g__Rhizosphaera	NA
ASV_16715	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Trichosporonales	f__Trichosporonaceae	g__Cutaneotrichosporon	s__smithiae
ASV_16716	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Peniophoraceae	g__Peniophora	s__albobadia
ASV_16717	NA	NA	NA	NA	NA	NA	NA
ASV_16718	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Polyporales	f__Phanerochaetaceae	g__Phlebiopsis	s__flavidoalba
ASV_16719	k__Fungi	p__Chytridiomycota	c__Spizellomycetes	o__Spizellomycetales	f__Spizellomycetales_fam_Incertae_sedis	g__Spizellomycetales_gen_Incertae_sedis	NA
ASV_16720	NA	NA	NA	NA	NA	NA	NA
ASV_16721	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	s__herbarum
ASV_16722	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__dimennae
ASV_16723	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	NA	NA	NA
ASV_16724	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	NA	NA
ASV_16725	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricomycetes_ord_Incertae_sedis	f__Xenasmataceae	g__Xenasmatella	s__christiansenii
ASV_16726	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Phaeosphaeriaceae	NA	NA
ASV_16727	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Sporobolomyces	s__cellobiolyticus
ASV_16728	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	f__Hyaloscyphaceae	g__Venturiocistella	NA
ASV_16729	k__Fungi	NA	NA	NA	NA	NA	NA
ASV_16730	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Agaricales	f__Tricholomataceae	g__Megacollybia	s__rodmanii
ASV_16731	k__Fungi	p__Ascomycota	c__Sordariomycetes	NA	NA	NA	NA
ASV_16732	k__Fungi	p__Ascomycota	c__Eurotiomycetes	o__Chaetothyriales	f__Chaetothyriaceae	g__Ceramothyrium	s__linnaeae
ASV_16733	k__Fungi	p__Basidiomycota	c__Agaricostilbomycetes	o__Agaricostilbales	NA	NA	NA
ASV_16734	k__Fungi	p__Chytridiomycota	c__Spizellomycetes	o__Spizellomycetales	f__Spizellomycetales_fam_Incertae_sedis	g__Spizellomycetales_gen_Incertae_sedis	NA
ASV_16735	k__Fungi	p__Ascomycota	c__Lecanoromycetes	o__Baeomycetales	f__Trapeliaceae	g__Placynthiella	NA
ASV_16736	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Tremellaceae	g__Tremella	s__zhejiangensis
ASV_16737	NA	NA	NA	NA	NA	NA	NA
ASV_16738	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Russulales	f__Peniophoraceae	g__Peniophora	s__cinerea
