"taxon","in_top3axes_CoCA","in_PCoA1_date","in_PCoA3_lure","Kingdom","Phylum","Class","Order","Family","Genus","Species"
"ASV_687",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales",NA,NA,NA
"ASV_695",FALSE,TRUE,FALSE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Russulales","f__Peniophoraceae","g__Peniophora",NA
"ASV_698",FALSE,TRUE,FALSE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Phanerochaetaceae","g__Bjerkandera","s__adusta"
"ASV_699",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Coryneliales","f__Coryneliaceae","g__Coryneliaceae_gen_Incertae_sedis",NA
"ASV_702",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Phaeosphaeriaceae","g__Acericola","s__italica"
"ASV_704",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans"
"ASV_707",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Mycosphaerellales","f__Mycosphaerellaceae","g__Ramularia",NA
"ASV_709",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothideaceae","g__Rhizosphaera",NA
"ASV_713",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Amphisphaeriales","f__Pestalotiopsidaceae","g__Pestalotiopsis","s__eleutherococci"
"ASV_717",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae",NA,NA
"ASV_721",FALSE,TRUE,FALSE,"k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_723",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans"
"ASV_734",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_740",FALSE,TRUE,FALSE,"k__Fungi","p__Olpidiomycota","c__GS18","o__GS18_ord_Incertae_sedis","f__GS18_ord_Incertae_sedis_fam_Incertae_sedis","g__GS18_ord_Incertae_sedis_gen_Incertae_sedis",NA
"ASV_745",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Calosphaeriales","f__Calosphaeriaceae","g__Jattaea","s__taediosa"
"ASV_746",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_755",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Rhytismatales","f__Rhytismataceae","g__Lophodermium","s__nitens"
"ASV_756",FALSE,TRUE,FALSE,"k__Fungi","p__Basidiomycota","c__Cystobasidiomycetes","o__Cystobasidiales","f__Cystobasidiaceae","g__Cystobasidium","s__pinicola"
"ASV_759",FALSE,TRUE,FALSE,"k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_768",FALSE,TRUE,FALSE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Diatrypaceae","g__Diatrypella","s__atlantica"
"ASV_8",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Wickerhamomyces","s__spegazzinii"
"ASV_10",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__oregonensis"
"ASV_11",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetaceae","g__Kluyveromyces","s__lactis"
"ASV_16",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Dipodascaceae","g__Geotrichum","s__silvicola"
"ASV_19",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Kurtzmaniella",NA
"ASV_21",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Suhomyces",NA
"ASV_30",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymosphaeriaceae","g__Paracamarosporium",NA
"ASV_32",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora",NA
"ASV_34",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_41",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Peterozyma","s__xylosa"
"ASV_44",FALSE,FALSE,TRUE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Trichosporon","s__asahii"
"ASV_50",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Neocucurbitaria","s__quercina"
"ASV_51",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporaceae","g__Alternaria",NA
"ASV_54",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__nitratophila"
"ASV_57",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Neocucurbitaria","s__populi"
"ASV_68",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Leotiomycetes","o__Helotiales","f__Helotiales_fam_Incertae_sedis","g__Cryptocline","s__arctostaphyli"
"ASV_71",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae",NA,NA
"ASV_73",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Pichiaceae","g__Nakazawaea","s__wyomingensis"
"ASV_74",FALSE,FALSE,TRUE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Trichosporonales","f__Trichosporonaceae","g__Trichosporon","s__asahii"
"ASV_76",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Cyberlindnera","s__mycetangii"
"ASV_82",FALSE,FALSE,TRUE,"k__Fungi",NA,NA,NA,NA,NA,NA
"ASV_83",FALSE,FALSE,TRUE,NA,NA,NA,NA,NA,NA,NA
"ASV_89",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Yamadazyma","s__mexicana"
"ASV_90",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Taphrinomycetes","o__Taphrinales","f__Taphrinaceae","g__Taphrina",NA
"ASV_92",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_95",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales",NA,NA,NA
"ASV_104",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora",NA
"ASV_108",FALSE,FALSE,TRUE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Irpex","s__lacteus"
"ASV_113",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Coniochaetales","f__Coniochaetaceae","g__Coniochaeta",NA
"ASV_118",FALSE,FALSE,TRUE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Mrakia","s__montana"
"ASV_125",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Dothioraceae","g__Dothiora",NA
"ASV_131",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Massarinaceae","g__Phragmocamarosporium","s__qujingensis"
"ASV_136",FALSE,FALSE,TRUE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Cystofilobasidiaceae","g__Cystofilobasidium","s__macerans"
"ASV_139",FALSE,FALSE,TRUE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Kwoniella","s__pini"
"ASV_143",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Didymellaceae","g__Neoascochyta","s__rosicola"
"ASV_144",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Phaffomycetaceae","g__Cyberlindnera",NA
"ASV_146",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_149",FALSE,FALSE,TRUE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Tremellales","f__Cryptococcaceae","g__Kwoniella","s__pini"
"ASV_157",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Yamadazyma","s__mexicana"
"ASV_158",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Sareomycetes","o__Sareales","f__Sareaceae","g__Sarea","s__coeloplata"
"ASV_159",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Diaporthales","f__Valsaceae","g__Cytospora","s__rhizophorae"
"ASV_164",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Cucurbitariaceae","g__Parafenestella","s__ontariensis"
"ASV_171",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Dothideales","f__Saccotheciaceae","g__Aureobasidium","s__pullulans"
"ASV_172",FALSE,FALSE,TRUE,"k__Fungi","p__Basidiomycota","c__Agaricomycetes","o__Polyporales","f__Irpicaceae","g__Irpex","s__lacteus"
"ASV_173",FALSE,FALSE,TRUE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Filobasidiales","f__Filobasidiaceae","g__Naganishia","s__globosa"
"ASV_174",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Coniothyriaceae",NA,NA
"ASV_178",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Hypocreales","f__Nectriaceae","g__Fusarium",NA
"ASV_180",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Debaryomycetaceae","g__Kurtzmaniella",NA
"ASV_182",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Lecanoromycetes","o__Caliciales","f__Physciaceae","g__Phaeophyscia","s__rubropulchra"
"ASV_184",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Dothideomycetes","o__Pleosporales","f__Pleosporales_fam_Incertae_sedis","g__Ochrocladosporium",NA
"ASV_194",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Sordariomycetes","o__Xylariales","f__Amphisphaeriaceae","g__Monochaetia","s__monochaeta"
"ASV_203",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Saccharomycetes","o__Saccharomycetales","f__Saccharomycetales_fam_Incertae_sedis","g__Candida","s__oregonensis"
"ASV_204",FALSE,FALSE,TRUE,"k__Fungi","p__Basidiomycota","c__Tremellomycetes","o__Cystofilobasidiales","f__Mrakiaceae","g__Tausonia","s__pullulans"
"ASV_205",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota",NA,NA,NA,NA,NA
"ASV_209",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Chaetothyriales","f__Trichomeriaceae","g__Knufia",NA
"ASV_213",FALSE,FALSE,TRUE,"k__Fungi","p__Ascomycota","c__Eurotiomycetes","o__Coryneliales","f__Coryneliaceae","g__Caliciopsis",NA
