"grid","beetle","fungal_unit","n_samples","beetle_n","fungus_n","shared_n","beetle_only","fungus_only","both_absent","jaccard","exp_jaccard_null","sd_jaccard_null","z_score","p_pos","p_neg","p_perm","q_perm","p_fisher","q_fisher","direction","beetle_is_target"
"species","Crypturgus alutaceus","Ophiostoma denticiliatum",69,5,5,0,5,5,59,0,0.0578344727919524,0.0716479603163967,-0.807203338888587,1,0.5535,1,1,1,1,"avoiding",FALSE
"species","Crypturgus alutaceus","Ophiostoma denticulatum",69,5,6,0,5,6,58,0,0.068795508865543,0.0713979462522417,-0.963550248665354,1,0.445,0.89,1,1,1,"avoiding",FALSE
"species","Crypturgus alutaceus","Ophiostoma karelicum",69,5,3,0,5,3,61,0,0,0,NA,1,1,1,1,1,1,"co-occurring",FALSE
"species","Crypturgus alutaceus","Ophiostoma pallidulum",69,5,7,0,5,7,57,0,0.0623220701259731,0.0644370729970745,-0.967177235514757,1,0.445,0.89,1,1,1,"avoiding",FALSE
"species","Crypturgus alutaceus","Ophiostoma sparsiannulatum",69,5,3,0,5,3,61,0,0.0463803330236546,0.0669093873979899,-0.69318125344319,1,0.6755,1,1,1,1,"avoiding",FALSE
"species","Crypturgus alutaceus","Ophiostoma undulatum",69,5,6,0,5,6,58,0,0.0324662331165586,0.0468365711785937,-0.693181253443186,1,0.6755,1,1,1,1,"avoiding",FALSE
"species","Crypturgus alutaceus","Raffaelea arxii",69,5,9,0,5,9,55,0,0.0696467114676227,0.059468426220895,-1.17115444099564,1,0.306,0.612,1,1,1,"avoiding",FALSE
"species","Crypturgus alutaceus","Raffaelea crossotarsi",69,5,3,0,5,3,61,0,0.101979561209175,0.0919824361228887,-1.10868515237985,1,0.3765,0.753,1,1,1,"avoiding",FALSE
"species","Crypturgus alutaceus","Raffaelea subfusca",69,5,3,0,5,3,61,0,0.0463803330236546,0.0669093873979899,-0.69318125344319,1,0.6755,1,1,1,1,"avoiding",FALSE
"species","Crypturgus alutaceus","Sporothrix eucastaneae",69,5,10,0,5,10,54,0,0.0904985459762874,0.0600782347755612,-1.50634495694439,1,0.15,0.3,1,1,1,"avoiding",FALSE
"species","Cyclorhipidion bodoanum","Ophiostoma sparsiannulatum",69,8,3,2,6,1,60,0.222222222222222,0.145603357234174,0.101321953381758,0.756192142282986,0.4015,0.921,0.803,1,0.0336679772493034,0.293515699096491,"co-occurring",FALSE
"species","Cyclorhipidion bodoanum","Sporothrix eucastaneae",69,8,10,2,6,8,53,0.125,0.105540165040504,0.0567350874102903,0.342994711875011,0.589,0.8515,1,1,0.326795784583521,0.838570315157714,"co-occurring",FALSE
"species","Cyclorhipidion bodoanum","Ophiostoma karelicum",69,8,3,1,7,2,59,0.1,0.0671835917958963,0.0469662393485358,0.698723352333442,0.672,1,1,1,0.313089285032637,0.838570315157714,"co-occurring",FALSE
"species","Cyclorhipidion bodoanum","Sporothrix rossii",69,8,16,2,6,14,47,0.0909090909090909,0.0612706127202503,0.0377530051571372,0.785062753692798,0.4195,0.9285,0.839,1,1,1,"co-occurring",FALSE
"species","Cyclorhipidion bodoanum","Ceratocystiopsis synnemata",69,8,5,1,7,4,57,0.0833333333333333,0.0278055694513926,0.0393033568338725,1.41279952541065,0.334,1,0.668,1,0.47064642804613,1,"co-occurring",FALSE
"species","Cyclorhipidion bodoanum","Ophiostoma denticiliatum",69,8,5,1,7,4,57,0.0833333333333333,0.119924356117456,0.0812100336265699,-0.450572683572324,0.843,0.587,1,1,0.47064642804613,1,"avoiding",FALSE
"species","Cyclorhipidion bodoanum","Grosmannia francke-grosmanniae",69,8,13,1,7,12,49,0.05,0.0893815070590004,0.0489191528061199,-0.805032483188746,0.9195,0.4085,0.817,1,1,1,"avoiding",FALSE
"species","Cyclorhipidion bodoanum","Leptographium gracile",69,8,13,1,7,12,49,0.05,0.0166833416708355,0.0235820141003233,1.41279952541067,0.334,1,0.668,1,1,1,"co-occurring",FALSE
"species","Cyclorhipidion bodoanum","Ceratocystiopsis manitobensis",69,8,14,1,7,13,48,0.0476190476190476,0.0324114438171476,0.029595790396791,0.513843475643379,0.6005,0.927,1,1,1,1,"co-occurring",FALSE
"species","Cyclorhipidion bodoanum","Ceratocystiopsis rollhanseniana",69,8,3,0,8,3,58,0,0.0351675837918961,0.0477612873600067,-0.736319846800109,1,0.6485,1,1,1,1,"avoiding",FALSE
"species","Cyclorhipidion bodoanum","Grosmannia cucullata",69,8,4,0,8,4,57,0,0.0311974168902637,0.0431715455471774,-0.722638406729531,1,0.657,1,1,1,1,"avoiding",FALSE
"species","Cyclorhipidion bodoanum","Grosmannia olivacea",69,8,5,0,8,5,56,0,0.0293063198265802,0.039801072800006,-0.736319846800105,1,0.6485,1,1,1,1,"avoiding",FALSE
"species","Cyclorhipidion bodoanum","Leptographium lundbergii",69,8,7,0,8,7,54,0,0.025119702708497,0.0341152052571475,-0.736319846800106,1,0.6485,1,1,0.58828055514699,1,"avoiding",FALSE
"species","Cyclorhipidion bodoanum","Ophiostoma adjuncti",69,8,7,0,8,7,54,0,0,0,NA,1,1,1,1,0.58828055514699,1,"co-occurring",FALSE
"species","Cyclorhipidion bodoanum","Ophiostoma denticulatum",69,8,6,0,8,6,55,0,0.0270519875322281,0.03673945181539,-0.736319846800113,1,0.6485,1,1,1,1,"avoiding",FALSE
"species","Cyclorhipidion bodoanum","Ophiostoma pallidulum",69,8,7,0,8,7,54,0,0.0509512998257368,0.0506650199368454,-1.00565044461145,1,0.4255,0.851,1,0.58828055514699,1,"avoiding",FALSE
"species","Cyclorhipidion bodoanum","Ophiostoma undulatum",69,8,6,0,8,6,55,0,0.0270519875322281,0.03673945181539,-0.736319846800113,1,0.6485,1,1,1,1,"avoiding",FALSE
"species","Cyclorhipidion bodoanum","Raffaelea arxii",69,8,9,0,8,9,52,0,0.0658421472641088,0.0515650826268412,-1.27687465839211,1,0.2605,0.521,1,0.584299283790853,1,"avoiding",FALSE
"species","Cyclorhipidion bodoanum","Raffaelea crossotarsi",69,8,3,0,8,3,58,0,0.0684119837696615,0.0620299660503781,-1.10288604243472,1,0.392,0.784,1,1,1,"avoiding",FALSE
"species","Cyclorhipidion bodoanum","Raffaelea subfusca",69,8,3,0,8,3,58,0,0.0351675837918961,0.0477612873600067,-0.736319846800109,1,0.6485,1,1,1,1,"avoiding",FALSE
"species","Cyclorhipidion pelliculosum","Grosmannia francke-grosmanniae",69,13,13,8,5,5,51,0.444444444444444,0.174041248122981,0.0641947455472101,4.21223254359041,0.0015,1,0.003,0.226666666666667,0.000134195691560037,0.0130361528944036,"co-occurring",FALSE
"species","Cyclorhipidion pelliculosum","Sporothrix eucastaneae",69,13,10,6,7,4,52,0.352941176470588,0.123101759355415,0.0546954123874998,4.20216992765011,5e-04,1,0.001,0.17,0.00199939584396605,0.0799758337586421,"co-occurring",FALSE
"species","Cyclorhipidion pelliculosum","Raffaelea arxii",69,13,9,5,8,4,52,0.294117647058824,0.119309236907509,0.0577885142635039,3.02496806466115,0.009,1,0.018,0.523076923076923,0.00922826944369984,0.143609508956686,"co-occurring",FALSE
"species","Cyclorhipidion pelliculosum","Ophiostoma denticiliatum",69,13,5,4,9,1,55,0.285714285714286,0.0941961526981985,0.0625990493747592,3.05944155588583,0.014,1,0.028,0.634666666666667,0.0036772658446896,0.102870264064294,"co-occurring",FALSE
"species","Cyclorhipidion pelliculosum","Raffaelea crossotarsi",69,13,3,3,10,0,56,0.230769230769231,0.10484363060651,0.061554082459112,2.04577170403553,0.094,1,0.188,1,0.0054586403023247,0.1159961064244,"co-occurring",FALSE
"species","Cyclorhipidion pelliculosum","Grosmannia cucullata",69,13,4,3,10,1,55,0.214285714285714,0.0647121179637444,0.0526161345829829,2.84273250985535,0.023,1,0.046,0.836923076923077,0.0193533610718784,0.206063404473528,"co-occurring",FALSE
"species","Cyclorhipidion pelliculosum","Ophiostoma pallidulum",69,13,7,3,10,4,52,0.176470588235294,0.0738224719514912,0.0540552646003816,1.89894762411501,0.1055,0.9925,0.211,1,0.117661373439707,0.548663799259537,"co-occurring",FALSE
"species","Cyclorhipidion pelliculosum","Sporothrix rossii",69,13,16,4,9,12,44,0.16,0.111523233549029,0.0536847311713418,0.902989833296388,0.2905,0.902,0.581,1,0.480829079979224,1,"co-occurring",FALSE
"species","Cyclorhipidion pelliculosum","Ophiostoma sparsiannulatum",69,13,3,2,11,1,55,0.142857142857143,0.0936966651824063,0.0616696808822655,0.797157970844531,0.4185,0.934,0.837,1,0.0888269649196473,0.483218689162881,"co-occurring",FALSE
