"grid","beetle","fungal_unit","genus","species","n_samples","beetle_n","fungus_n","shared_n","beetle_only","fungus_only","both_absent","jaccard","exp_jaccard_null","sd_jaccard_null","z_score","p_pos","p_neg","p_perm","q_perm","p_fisher","q_fisher","direction","beetle_is_target"
"asv","Anisandrus sayi","ASV_8895","Ceratocystiopsis","manitobensis",69,32,13,5,27,8,29,0.125,0.120916572544865,0.0340245029848943,0.120014316063557,0.6075,0.7145,1,1,0.556164837049155,1,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_1646","Raffaelea","arxii",69,32,5,4,28,1,36,0.121212121212121,0.10007375754128,0.0314978469558855,0.671105034590036,0.4575,0.8975,0.915,1,0.175093715689967,0.719377464700006,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_8131","Graphilbum",NA,69,32,6,4,28,2,35,0.117647058823529,0.0765695830110406,0.0288699369468908,1.42284605221186,0.1935,0.984,0.387,1,0.405246717248091,0.959906117673447,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_7618","Leptographium","lundbergii",69,32,7,4,28,3,34,0.114285714285714,0.0892418572808319,0.0316514297152212,0.791239360439972,0.374,0.915,0.748,1,0.696372197994521,1,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_21569","Sporothrix",NA,69,32,7,4,28,3,34,0.114285714285714,0.10470889688648,0.0369065944661405,0.259487973294852,0.551,0.7595,1,1,0.696372197994521,1,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_9224","Ophiostoma","sparsiannulatum",69,32,3,3,29,0,37,0.09375,0.0718928425888531,0.0237558768178426,0.920073697079047,0.4775,1,0.955,1,0.0946673283200367,0.536448193813541,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_17726",NA,NA,69,32,3,3,29,0,37,0.09375,0.0460470041170328,0.0273861331585469,1.74186679100695,0.128,1,0.256,1,0.0946673283200367,0.536448193813541,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_4337","Ophiostoma","undulatum",69,32,4,3,29,1,36,0.0909090909090909,0.0804200610618544,0.0278674665430749,0.376389788825027,0.599,0.843,1,1,0.330277235075494,0.902846894455239,"co-occurring",FALSE
"asv","Anisandrus sayi","ASV_7819","Hawksworthiomyces",NA,69,32,5,3,29,2,35,0.0882352941176471,0.0902902837655158,0.0327140422080499,-0.0628167450173155,0.706,0.676,1,1,0.657079188323224,1,"avoiding",FALSE
"asv","Anisandrus sayi","ASV_9363","Sporothrix",NA,69,32,5,3,29,2,35,0.0882352941176471,0.0626278146288167,0.0248458057806926,1.03065602761532,0.3525,0.971,0.705,1,0.657079188323224,1,"co-occurring",FALSE
