"taxon","t_stat","p_perm","q_value","lure_F_stat","lure_r2","lure_q_value"
"ASV_51",-0.24631911353281,0.82,0.978947368421053,0.611833671761855,0.0191229426144432,0.984846328049175
"ASV_65",-0.273217898526509,0.81,0.978947368421053,0.670348608943237,0.0203317704661076,0.984846328049175
"ASV_102",0.308544861276827,0.783,0.978947368421053,2.47109473838953,0.0745306613933709,0.984846328049175
"ASV_104",0.272639041295342,0.762,0.978947368421053,0.858155329152464,0.0271285527574831,0.984846328049175
"ASV_173",-0.256413428634228,0.779,0.978947368421053,0.872877906601099,0.0277251361446345,0.984846328049175
"ASV_174",0.225949371727408,0.814,0.978947368421053,2.05294941758621,0.0615729808118075,0.984846328049175
"ASV_205",-0.370240700524581,0.764,0.978947368421053,0.933895436982808,0.0293134631148401,0.984846328049175
"ASV_211",-0.250228949076496,0.824,0.978947368421053,1.3674046200229,0.0402136186714087,0.984846328049175
"ASV_320",0.249892568723778,0.769,0.978947368421053,1.17976014532144,0.0363185666987659,0.984846328049175
"ASV_329",-0.250301712397754,0.777,0.978947368421053,1.0218502040453,0.03177382895326,0.984846328049175
"ASV_331",0.178815176585182,0.827,0.978947368421053,1.78685049077537,0.0553631591930668,0.984846328049175
"ASV_348",0.236891416453136,0.787,0.978947368421053,2.73328374969036,0.0823524657959244,0.984846328049175
"ASV_355",0.222110074286286,0.807,0.978947368421053,3.40666833578402,0.0985951086244966,0.984846328049175
"ASV_374",0.220812174323299,0.831,0.978947368421053,0.480328129958762,0.0153285841018195,0.984846328049175
"ASV_428",0.2458702588675,0.813,0.978947368421053,1.12876896642392,0.0352064609407067,0.984846328049175
