"grid","beetle","fungal_unit","genus","species","n_samples","beetle_n","fungus_n","shared_n","beetle_only","fungus_only","both_absent","jaccard","exp_jaccard_null","sd_jaccard_null","z_score","p_pos","p_neg","p_perm","q_perm","p_fisher","q_fisher","direction"
"asv","Ips pini","ASV_27488","Ceratocystiopsis","synnemata",69,5,4,1,4,3,61,0.125,0.0739744872436218,0.0614530334869613,0.830317233521181,0.592,1,1,1,0.265037287406261,0.62151086002214,"co-occurring"
"asv","Ips pini","ASV_1646","Raffaelea","arxii",69,5,5,1,4,4,60,0.111111111111111,0.0360180090045028,0.0520197821369087,1.44354895429923,0.3245,1,0.649,1,0.321572880682702,0.709887302639173,"co-occurring"
"asv","Ips pini","ASV_15268","Grosmannia","olivacea",69,5,5,1,4,4,60,0.111111111111111,0.0421043855260969,0.0652875345212738,1.05696632735501,0.3305,0.961,0.661,1,0.321572880682702,0.709887302639173,"co-occurring"
"asv","Ips pini","ASV_4044","Graphilbum",NA,69,5,6,1,4,5,59,0.1,0.0848118503696284,0.0825021497282396,0.184093986404004,0.6285,0.839,1,1,0.374574999379366,0.81157916532196,"co-occurring"
"asv","Ips pini","ASV_6959","Ophiostoma","adjuncti",69,5,7,1,4,6,58,0.0909090909090909,0.0558279139569794,0.0611510502203591,0.573680694373944,0.5165,0.9185,1,1,0.424211904190528,0.84123377610664,"co-occurring"
"asv","Ips pini","ASV_13560","Hawksworthiomyces",NA,69,5,7,1,4,6,58,0.0909090909090909,0.0757924416753841,0.0683627436536273,0.221124086392702,0.64,0.8385,1,1,0.424211904190528,0.84123377610664,"co-occurring"
"asv","Ips pini","ASV_15738","Graphilbum",NA,69,5,7,1,4,6,58,0.0909090909090909,0.0932223687601384,0.0741337506307803,-0.0312041119107635,0.7445,0.7885,1,1,0.424211904190528,0.84123377610664,"avoiding"
"asv","Ips pini","ASV_21569","Sporothrix",NA,69,5,7,1,4,6,58,0.0909090909090909,0.0294692800945931,0.042561639930198,1.44354895429923,0.3245,1,0.649,1,0.424211904190528,0.84123377610664,"co-occurring"
"asv","Ips pini","ASV_660","Grosmannia","francke-grosmanniae",69,5,13,1,4,12,52,0.0588235294117647,0.019068357708266,0.0275398846607165,1.44354895429923,0.3245,1,0.649,1,1,1,"co-occurring"
"asv","Ips pini","ASV_8895","Ceratocystiopsis","manitobensis",69,5,13,1,4,12,52,0.0588235294117647,0.084170761851515,0.0600049695773892,-0.42241888660671,0.823,0.5845,1,1,1,1,"avoiding"
"asv","Ips pini","ASV_1122","Raffaelea","arxii",69,5,8,0,5,8,56,0,0.0134650658662664,0.0306798253691079,-0.438889912320839,1,0.8385,1,1,1,1,"avoiding"
"asv","Ips pini","ASV_3556","Sporothrix","rossii",69,5,9,0,5,9,55,0,0.0276997473095526,0.0430203895863887,-0.643874859708767,1,0.678,1,1,1,1,"avoiding"
"asv","Ips pini","ASV_4337","Ophiostoma","undulatum",69,5,4,0,5,4,60,0,0.0201975987993997,0.0460197380536623,-0.438889912320836,1,0.8385,1,1,1,1,"avoiding"
"asv","Ips pini","ASV_5162","Sporothrix",NA,69,5,7,0,5,7,57,0,0.0146891627631997,0.0334689004026636,-0.438889912320834,1,0.8385,1,1,1,1,"avoiding"
"asv","Ips pini","ASV_5724","Graphilbum",NA,69,5,4,0,5,4,60,0,0.0201975987993997,0.0460197380536623,-0.438889912320836,1,0.8385,1,1,1,1,"avoiding"
"asv","Ips pini","ASV_6045","Sporothrix",NA,69,5,7,0,5,7,57,0,0.0185092546273137,0.0366160853850021,-0.505495178763567,1,0.7965,1,1,1,1,"avoiding"
"asv","Ips pini","ASV_6117","Leptographium","gracile",69,5,13,0,5,13,51,0,0,0,NA,1,1,1,1,0.575142191854029,0.980469054704239,"co-occurring"
"asv","Ips pini","ASV_7106","Ophiostoma","denticiliatum",69,5,5,0,5,5,59,0,0.017953421155022,0.0409064338254773,-0.438889912320839,1,0.8385,1,1,1,1,"avoiding"
"asv","Ips pini","ASV_7618","Leptographium","lundbergii",69,5,7,0,5,7,57,0,0.051480285597345,0.0582736942557302,-0.883422378739663,1,0.509,1,1,1,1,"avoiding"
"asv","Ips pini","ASV_7819","Hawksworthiomyces",NA,69,5,5,0,5,5,59,0,0.0197876716135846,0.0425203795251094,-0.4653691202803,1,0.822,1,1,1,1,"avoiding"
"asv","Ips pini","ASV_7886","Grosmannia",NA,69,5,4,0,5,4,60,0,0,0,NA,1,1,1,1,1,1,"co-occurring"
"asv","Ips pini","ASV_8131","Graphilbum",NA,69,5,6,0,5,6,58,0,0.0585181479628697,0.0651937938141098,-0.897603046844079,1,0.497,0.994,1,1,1,"avoiding"
"asv","Ips pini","ASV_8274","Sporothrix","rossii",69,5,12,0,5,12,52,0,0.0351321494080374,0.039406107259317,-0.891540724305643,1,0.509,1,1,0.578225339953782,0.980469054704239,"avoiding"
"asv","Ips pini","ASV_8974","Ophiostoma","karelicum",69,5,3,0,5,3,61,0,0,0,NA,1,1,1,1,1,1,"co-occurring"
"asv","Ips pini","ASV_9224","Ophiostoma","sparsiannulatum",69,5,3,0,5,3,61,0,0.0230829700564569,0.0525939863470413,-0.43888991232085,1,0.8385,1,1,1,1,"avoiding"
"asv","Ips pini","ASV_9363","Sporothrix",NA,69,5,5,0,5,5,59,0,0.021844255461064,0.044169491269257,-0.494555287673601,1,0.8035,1,1,1,1,"avoiding"
"asv","Ips pini","ASV_11600","Ophiostoma","undulatum",69,5,4,0,5,4,60,0,0.0201975987993997,0.0460197380536623,-0.438889912320836,1,0.8385,1,1,1,1,"avoiding"
"asv","Ips pini","ASV_13249","Ophiostoma","denticulatum",69,5,6,0,5,6,58,0,0.0161580790395199,0.0368157904429296,-0.438889912320842,1,0.8385,1,1,1,1,"avoiding"
"asv","Ips pini","ASV_15258","Ophiostoma","pallidulum",69,5,7,0,5,7,57,0,0.0146891627631997,0.0334689004026636,-0.438889912320834,1,0.8385,1,1,1,1,"avoiding"
"asv","Ips pini","ASV_16537","Graphilbum",NA,69,5,3,0,5,3,61,0,0,0,NA,1,1,1,1,1,1,"co-occurring"
"asv","Ips pini","ASV_17726",NA,NA,69,5,3,0,5,3,61,0,0,0,NA,1,1,1,1,1,1,"co-occurring"
"asv","Ips pini","ASV_22166","Grosmannia","cucullata",69,5,4,0,5,4,60,0,0,0,NA,1,1,1,1,1,1,"co-occurring"
"asv","Ips pini","ASV_22950","Sporothrix",NA,69,5,6,0,5,6,58,0,0.0406147518203545,0.0597377665003386,-0.679884003030551,1,0.646,1,1,1,1,"avoiding"
"asv","Ips pini","ASV_23023","Sporothrix",NA,69,5,4,0,5,4,60,0,0,0,NA,1,1,1,1,1,1,"co-occurring"
"asv","Ips pini","ASV_28495","Raffaelea","subfusca",69,5,3,0,5,3,61,0,0.0820886633793078,0.0946737880762325,-0.867068541856687,1,0.509,1,1,1,1,"avoiding"
