"taxon","t_stat","p_perm","q_value"
"ASV_127",6.73222604540336,0.001,0.001
"ASV_8357",5.75872012257275,0.001,0.001
"ASV_3582",-5.63167518327805,0.001,0.001
"ASV_875",5.83044166182711,0.001,0.001
"ASV_2439",6.397518289472,0.001,0.001
"ASV_654",-6.34295379899776,0.001,0.001
"ASV_13363",5.65589211660987,0.001,0.001
"ASV_97",-5.62304281968645,0.001,0.001
"ASV_2229",6.06914540329198,0.001,0.001
"ASV_1830",-5.67461086665302,0.001,0.001
"ASV_390",6.31588195997272,0.001,0.001
"ASV_1011",6.08045732920365,0.001,0.001
"ASV_550",-5.9818593348189,0.001,0.001
"ASV_2969",-5.72119910614046,0.001,0.001
"ASV_201",5.78904313361137,0.001,0.001
"ASV_6687",6.47837859399146,0.001,0.001
"ASV_375",5.87302543210331,0.001,0.001
"ASV_707",6.22780949472833,0.001,0.001
"ASV_915",-6.07662157156573,0.001,0.001
"ASV_8248",5.58833321870537,0.001,0.001
"ASV_616",-5.92694844954517,0.001,0.001
"ASV_655",-5.93130215346189,0.001,0.001
"ASV_13839",5.60127382529598,0.001,0.001
"ASV_856",-6.31390032088538,0.001,0.001
"ASV_2839",6.09068425115891,0.001,0.001
"ASV_4595",5.72623346497155,0.001,0.001
"ASV_1227",5.52324102535065,0.001,0.001
"ASV_84",6.1625282387224,0.001,0.001
"ASV_1097",5.92525903045685,0.001,0.001
"ASV_2593",-5.67936002007478,0.001,0.001
"ASV_1042",5.63224637281153,0.001,0.001
"ASV_6923",5.54475163804493,0.001,0.001
"ASV_967",-5.67797803332721,0.001,0.001
"ASV_3858",6.80618938663982,0.001,0.001
"ASV_709",5.43825319517132,0.001,0.001
"ASV_5311",5.60761985180453,0.001,0.001
"ASV_908",5.92914092510518,0.001,0.001
"ASV_2962",-5.64856559221049,0.001,0.001
