"taxon","t_stat","p_perm","q_value","date_t_stat","date_q_value"
"ASV_81",1.61002861125434,0.253,0.424793388429752,-12.7135032926696,0.00763176895306859
"ASV_551",-1.10152286878065,0.257,0.424793388429752,-7.31383356439057,0.00763176895306859
"ASV_790",-1.11360072636091,0.255,0.424793388429752,-5.21788356789233,0.00763176895306859
"ASV_163",-1.09746918553067,0.271,0.437096774193548,-3.90481724687126,0.00763176895306859
"ASV_511",1.27711759652074,0.269,0.437096774193548,-4.42077503197427,0.00763176895306859
"ASV_607",-1.13695344227431,0.267,0.437096774193548,-9.36040939319401,0.00763176895306859
"ASV_649",1.12581221247461,0.276,0.4416,-5.01247091059214,0.00763176895306859
"ASV_84",-1.29757838231181,0.284,0.450793650793651,6.1625282387224,0.00763176895306859
"ASV_609",-1.08192822173482,0.293,0.461417322834646,4.27867340843969,0.00763176895306859
"ASV_654",1.28186268874386,0.306,0.478125,-6.34295379899776,0.00763176895306859
"ASV_680",-1.01494013286403,0.311,0.482170542635659,-6.40519678731103,0.00763176895306859
"ASV_629",-1.06926300803825,0.319,0.490769230769231,4.66489767307943,0.00763176895306859
"ASV_508",-0.991827962581215,0.322,0.491603053435115,-5.33644807476246,0.00763176895306859
"ASV_746",-1.15225548555783,0.325,0.492424242424242,-4.26305757343438,0.00763176895306859
"ASV_127",-1.03658287621159,0.338,0.508270676691729,6.73222604540336,0.00763176895306859
"ASV_444",-1.09008840710825,0.355,0.525925925925926,9.5461936960751,0.00763176895306859
"ASV_755",-0.865760193575084,0.353,0.525925925925926,-6.64673492532249,0.00763176895306859
"ASV_504",0.98538946567026,0.367,0.539705882352941,-5.19484941471178,0.00763176895306859
"ASV_362",-1.13914733826122,0.375,0.547445255474453,4.02400419499657,0.00763176895306859
"ASV_278",-0.910145430224792,0.379,0.549275362318841,3.68682607873709,0.00763176895306859
"ASV_336",0.872518833084384,0.39,0.557446808510638,4.91921741865736,0.00763176895306859
"ASV_344",-0.742609163709854,0.393,0.557446808510638,6.38431542480731,0.00763176895306859
"ASV_373",-0.935272340650175,0.392,0.557446808510638,-4.60490100911489,0.00763176895306859
"ASV_261",0.947178849849867,0.405,0.570422535211268,8.3011251604769,0.00763176895306859
"ASV_75",-0.678552818539469,0.414,0.579020979020979,6.33532284297273,0.00763176895306859
"ASV_103",0.750928920795876,0.426,0.591666666666667,7.61094844727274,0.00763176895306859
"ASV_150",-0.85976504064776,0.434,0.598620689655172,-4.2259716477353,0.00763176895306859
"ASV_500",0.835709472614102,0.443,0.606849315068493,3.72748941494978,0.00763176895306859
"ASV_776",0.960096749947554,0.449,0.610884353741497,-9.03112934769496,0.00763176895306859
"ASV_447",-0.68824146245586,0.457,0.617567567567568,4.47295520513488,0.00763176895306859
"ASV_85",-0.719973037539733,0.478,0.641610738255034,-6.78451541978442,0.00763176895306859
"ASV_429",-0.709231964124235,0.489,0.652,6.55284155702714,0.00763176895306859
"ASV_343",0.659397730150903,0.498,0.659602649006623,8.22419180408067,0.00763176895306859
"ASV_397",0.616761387838305,0.518,0.672727272727273,-5.36189004103577,0.00763176895306859
"ASV_525",-0.658322787562491,0.518,0.672727272727273,-6.07830067501616,0.00763176895306859
"ASV_778",-0.727601941198005,0.513,0.672727272727273,-4.20173953793018,0.00763176895306859
"ASV_699",0.709806666713576,0.53,0.683870967741935,-4.61818387761367,0.00763176895306859
"ASV_100",0.6052767128287,0.542,0.689873417721519,3.75366589709971,0.00763176895306859
"ASV_342",-0.520610078022107,0.541,0.689873417721519,-4.62533176899937,0.00763176895306859
"ASV_667",-0.692714115681135,0.545,0.689873417721519,-5.85765501747984,0.00763176895306859
"ASV_94",0.586357464513471,0.557,0.693827160493827,3.08137831158579,0.00763176895306859
"ASV_250",-0.634018493608175,0.561,0.693827160493827,5.52224179145112,0.00763176895306859
"ASV_270",0.586777508038551,0.562,0.693827160493827,11.7187488647807,0.00763176895306859
"ASV_427",0.596969668327757,0.562,0.693827160493827,13.6328225089275,0.00763176895306859
"ASV_379",-0.597803062644569,0.58,0.707317073170732,5.69989823330187,0.00763176895306859
"ASV_695",0.510328420710593,0.577,0.707317073170732,5.14134294467059,0.00763176895306859
"ASV_234",0.568833807081828,0.591,0.713253012048193,6.20734515500201,0.00763176895306859
"ASV_309",0.544998704856196,0.592,0.713253012048193,5.25112479498265,0.00763176895306859
"ASV_166",-0.471503678868931,0.608,0.72814371257485,-3.67283167199848,0.00763176895306859
"ASV_193",-0.544001538637933,0.632,0.752380952380952,-4.60599045060864,0.00763176895306859
"ASV_390",0.451698251036478,0.643,0.753216374269006,6.31588195997272,0.00763176895306859
"ASV_669",-0.474791953243237,0.644,0.753216374269006,-3.06007061156371,0.00763176895306859
"ASV_707",-0.514966307005106,0.638,0.753216374269006,6.22780949472833,0.00763176895306859
"ASV_529",-0.451689203398998,0.667,0.775581395348837,13.1892800343966,0.00763176895306859
"ASV_310",-0.405130363234772,0.681,0.777272727272727,-4.02937266302228,0.00763176895306859
"ASV_531",-0.459072181615748,0.673,0.777272727272727,-7.77016757980682,0.00763176895306859
"ASV_550",0.405217964906839,0.684,0.777272727272727,-5.9818593348189,0.00763176895306859
"ASV_558",-0.408015436529605,0.682,0.777272727272727,-6.69296033049709,0.00763176895306859
"ASV_260",0.495767659574614,0.703,0.789887640449438,5.3390062442587,0.00763176895306859
"ASV_804",-0.4407090223468,0.703,0.789887640449438,-6.79292941954905,0.00763176895306859
"ASV_406",0.435171088580005,0.709,0.79217877094972,-6.70045135776912,0.00763176895306859
"ASV_589",-0.367971129179675,0.738,0.82,-6.53090398768228,0.00763176895306859
"ASV_102",0.287897794718377,0.767,0.842857142857143,8.70063665139248,0.00763176895306859
"ASV_366",-0.282752440860753,0.765,0.842857142857143,4.29387508749835,0.00763176895306859
"ASV_223",-0.278545492410511,0.785,0.854347826086956,-4.47298958477019,0.00763176895306859
"ASV_530",-0.239348724945843,0.786,0.854347826086956,-3.92114343156747,0.00763176895306859
"ASV_253",-0.171106469607123,0.83,0.887700534759358,3.83706288669204,0.00763176895306859
"ASV_392",0.195205295236287,0.827,0.887700534759358,-5.51271001743839,0.00763176895306859
"ASV_417",-0.240051139036207,0.826,0.887700534759358,4.4960501676868,0.00763176895306859
"ASV_98",-0.195365690651703,0.851,0.893193717277487,8.69926206630914,0.00763176895306859
"ASV_226",0.169827406382666,0.852,0.893193717277487,-3.18859524122241,0.00763176895306859
"ASV_291",-0.182535390201328,0.853,0.893193717277487,-12.1616527803346,0.00763176895306859
"ASV_416",0.219724652297121,0.85,0.893193717277487,9.69611276453249,0.00763176895306859
"ASV_298",0.150054223892922,0.865,0.899481865284974,7.17514540710931,0.00763176895306859
"ASV_740",0.165212409987239,0.868,0.899481865284974,3.65483432223884,0.00763176895306859
"ASV_281",0.148483838267177,0.884,0.911340206185567,-4.07053518616805,0.00763176895306859
"ASV_713",-0.118956432158259,0.91,0.933333333333333,4.54363628669174,0.00763176895306859
"ASV_188",-0.0780954204192288,0.936,0.954314720812183,-4.00080123158508,0.00763176895306859
"ASV_806",0.0724787884400119,0.94,0.954314720812183,-4.9821668086192,0.00763176895306859
"ASV_412",0.0599699153892473,0.945,0.954545454545455,4.393732568608,0.00763176895306859
"ASV_345",0.0427883587110121,0.966,0.970854271356784,-7.88008644398796,0.00763176895306859
"ASV_256",-0.042362977322083,0.971,0.971,3.53602306112552,0.00763176895306859
