"taxon","p_lure","q_lure"
"ASV_553",0.151949166778507,0.98843632896885
"ASV_558",0.597816276627561,0.98843632896885
"ASV_560",0.00740228840578205,0.296091536231282
"ASV_562",0.613535824738765,0.98843632896885
"ASV_582",0.314691144779129,0.98843632896885
"ASV_586",0.933140960397442,0.98843632896885
"ASV_587",0.741723685621774,0.98843632896885
"ASV_589",0.794623810167773,0.98843632896885
"ASV_599",0.958783239099784,0.98843632896885
"ASV_601",0.754672598274388,0.98843632896885
"ASV_605",0.75021987411781,0.98843632896885
"ASV_607",0.704987861742174,0.98843632896885
"ASV_608",0.940263860963465,0.98843632896885
"ASV_609",0.845470367087768,0.98843632896885
"ASV_616",0.920087197787951,0.98843632896885
"ASV_617",0.259100658007086,0.98843632896885
"ASV_624",0.0696962327253664,0.828967532833886
"ASV_629",0.916025351335791,0.98843632896885
"ASV_644",0.221369455416308,0.98843632896885
"ASV_649",0.466280686635106,0.98843632896885
"ASV_654",0.068742903713051,0.828967532833886
"ASV_655",0.0249984238912943,0.512201276696932
"ASV_657",0.387780509938762,0.98843632896885
"ASV_665",0.925839050135088,0.98843632896885
"ASV_667",0.00352726055801487,0.234004003290389
"ASV_669",0.119861698706112,0.922013066970095
"ASV_676",0.797332155177681,0.98843632896885
"ASV_678",0.857075962730848,0.98843632896885
"ASV_680",0.330389710806116,0.98843632896885
"ASV_683",0.893239208815763,0.98843632896885
"ASV_695",0.888783690979496,0.98843632896885
"ASV_698",0.85650956812915,0.98843632896885
"ASV_699",0.304723334548944,0.98843632896885
"ASV_702",0.181425971739224,0.98843632896885
"ASV_707",0.783591358887986,0.98843632896885
"ASV_709",0.812025407705581,0.98843632896885
"ASV_713",0.650415615781844,0.98843632896885
"ASV_721",0.897302169627211,0.98843632896885
"ASV_723",0.387821120137252,0.98843632896885
"ASV_725",0.796824191602642,0.98843632896885
"ASV_734",0.810303841500081,0.98843632896885
"ASV_740",0.649179009076936,0.98843632896885
"ASV_745",0.109457265929785,0.922013066970095
"ASV_746",0.799827607306084,0.98843632896885
"ASV_755",0.912427650753363,0.98843632896885
"ASV_759",0.00179649854389995,0.234004003290389
"ASV_768",0.776232701438559,0.98843632896885
"ASV_772",0.966977096575738,0.991771381103321
"ASV_776",0.135590338135573,0.98843632896885
"ASV_777",0.817666823243748,0.98843632896885
"ASV_778",0.667718147896342,0.98843632896885
"ASV_790",0.494123316763091,0.98843632896885
"ASV_792",0.373658279919621,0.98843632896885
"ASV_802",0.0190318914642292,0.47579728660573
"ASV_804",0.521044635509353,0.98843632896885
"ASV_806",0.544439104967485,0.98843632896885
